,D0000000101,D0000000102,D0000000103,D0000000104,D0000000105,D0000000106,D0000000107,D0000000108,D0000000109,D0000000201,D0000000202,D0000000203,D0000000204,D0000000205,D0000000206,D0000000207,D0000000208,D0000000209,D0000000301,D0000000302,D0000000303,D0000000304,D0000000305,D0000000306,D0000000307,D0000000308,D0000000309,D0000000401,D0000000402,D0000000403,D0000000404,D0000000405,D0000000406,D0000000407,D0000000408,y
139,6.3471231,6.2802395,5.5016452,5.9491831,5.8824881,5.1025709,6.1252743,6.058265,5.2805511,-27.0332097,-27.0498389,-26.9333327,-40.572228,-40.6116642,-40.3346467,-18.0071975,-18.0020757,-18.037897,4.7584629,4.8003474,4.5068992,5.9487273,6,5.6398373,3.9649533,4,3.754885,400,5.701704,7.5258299,-135.166048,-0.0651807,-0.3377462,-0.0002686,-4.03E-06,20
140,6.5006412,6.4413433,5.6065845,6.1027012,6.0434012,5.208659,6.2787925,6.219496,5.3847261,-27.1081896,-27.0463793,-27.5306828,-40.5498047,-40.6129458,-40.1182314,-18.1471128,-18.0020752,-19.1385165,4.763635,4.7999961,4.5150957,5.9538665,6,5.6385413,3.9701474,4,3.7660902,450,5.8039609,7.6792151,-135.540948,0.3097188,-0.3010683,-0.0002129,-2.84E-06,22.5
141,6.6378283,6.5846017,5.6998317,6.2398883,6.1865967,5.3023894,6.4159796,6.3627962,5.4776508,-27.0075494,-27.0449454,-26.7207386,-40.551407,-40.6126354,-40.0824209,-17.9783109,-18.0020725,-17.7959127,4.7669613,4.7998804,4.5144862,5.958663,6,5.6420372,3.9724934,4,3.7613478,500,5.8954372,7.8164297,-135.037747,-0.1934822,-0.2699675,-0.0001718,-2.06E-06,25
142,6.7619906,6.7136896,5.7842356,6.3640506,6.3157798,5.3860386,6.5401418,6.4918207,5.5625581,-27.0350056,-27.0468828,-26.9340408,-40.5820456,-40.6125207,-40.3228149,-18.0036456,-18.0020751,-18.0169897,4.7697791,4.8000557,4.5124075,5.9626096,6,5.6445556,3.9745588,4,3.758386,550,5.978191,7.9405604,-135.175028,-0.0562011,-0.2456834,-0.0001421,-1.55E-06,27.5
143,6.8753623,6.8311451,5.8612482,6.4774223,6.4331391,5.4639228,6.6535135,6.6093403,5.6389892,-27.0307214,-27.0449326,-26.8981254,-40.5809238,-40.6126524,-40.2853487,-17.9972531,-18.0020743,-17.9522224,4.7723341,4.7998786,4.5153354,5.9655222,6,5.6443372,3.9768754,4,3.7608892,600,6.0537419,8.0538866,-135.153607,-0.0776223,-0.225181,-0.0001194,-1.19E-06,30
144,3.6757783,3.0128372,3.5693739,3.2778383,2.60206,3.1749316,3.4539296,2.7993405,3.3451776,-25.604973,-25.5253141,-25.6270886,-38.8446728,-39.9212877,-38.5568079,-16.7785065,-16.3850134,-16.8904761,6.6548523,7.223301,6.497035,5.5601266,6,5.4425134,7.3846695,8,7.2095754,50,3.8985573,4.8211098,-128.024865,-0.988366,-2.5502961,-0.016171,-0.0019328,2.5
145,4.5714759,4.281715,4.2588766,4.1735359,3.8834343,3.8612954,4.3496272,4.0600932,4.0367885,-25.479444,-25.7945353,-25.1473396,-39.3719902,-39.9272835,-38.787656,-16.2177466,-16.3850096,-16.0412629,6.9383584,7.2006273,6.6619284,5.7927173,6,5.574594,7.7021191,8,7.387817,100,4.4988853,5.7216018,-127.39722,-1.6160109,-1.2714293,-0.004039,-0.0002419,5
146,5.1006634,4.9139462,4.6440445,4.7027234,4.5146938,4.2485372,4.8788147,4.6929702,4.4205663,-25.620819,-25.7739158,-25.3358039,-39.6335601,-39.9283125,-39.089541,-16.2789916,-16.3850105,-16.0804793,7.0261014,7.2024139,6.6978666,5.8608875,6,5.6041302,7.8029107,8,7.4338763,150,4.8504897,6.2490084,-128.104095,-0.9091363,-0.8528901,-0.0018075,-7.22E-05,7.5
147,5.4752963,5.3376908,4.9091601,5.077357,4.9400381,4.5104512,5.253447,5.1156504,4.6878231,-25.6391817,-25.8087096,-25.1844324,-39.7014966,-39.9286792,-39.0906081,-16.264279,-16.3850105,-15.9409474,7.0683466,7.1994706,6.7166137,5.8944827,6,5.6107492,7.8509247,8,7.4516857,200,5.100078,6.6233908,-128.195909,-0.8173226,-0.6403392,-0.0010181,-3.05E-05,10
148,5.7663437,5.6574727,5.1121725,5.368404,5.2593693,4.7148074,5.5444947,5.4357329,4.8899401,-27.0420901,-25.7991167,-31.4048577,-39.7464098,-39.9291356,-39.1061418,-18.5725316,-16.3850103,-26.2593235,7.0936331,7.200301,6.7192344,5.9143486,6,5.6142276,7.8798238,8,7.4575334,250,5.2937245,6.9138605,-135.210451,6.1972195,-0.5404095,-0.0006875,-1.65E-05,12.5
